question,answer,theme,keywords,Name of Document,Page no.
What is the purpose of this book?,The purpose of this book is to provide ASHA workers with basic knowledge and skills to start their work.,purpose,['book'],Induction Training Module for ASHA English,[5]
Why do ASHA workers need additional knowledge and skills?,ASHA workers need additional knowledge and skills to be effective resources in their communities.,ASHA workers,"['additional knowledge', 'skills', 'effective resources', 'communities']",Induction Training Module for ASHA English,[5]
What are some of the things ASHA workers need to learn?,"ASHA workers need to learn about health rights and entitlements, the causes and treatment of common illnesses, and types of treatment available at different facilities.",ASHA workers,"['health rights', 'entitlements', 'causes', 'treatment', 'common illnesses', 'types of treatment', 'different facilities']",Induction Training Module for ASHA English,[5]
What skills do ASHA workers need to develop?,"ASHA workers need to develop the skills to communicate health-related information, counsel people on prevention of illness, adopt healthy behaviors, treat minor ailments, and have leadership abilities to help people access their rights and entitlements.",ASHA workers,"['skills', 'communicate health-related information', 'counsel people', 'prevention of illness', 'adopt healthy behaviors', 'treat minor ailments', 'leadership abilities', 'help people', 'access their rights', 'entitlements']",Induction Training Module for ASHA English,[5]
What does the ASHA training program consist of?,"The ASHA training program consists of multiple rounds of training, with the first round providing basic knowledge and skills, followed by additional rounds of training to learn new things and gain more information on topics covered in the first book.",ASHA training program,"['multiple rounds of training', 'basic knowledge', 'skills', 'additional rounds of training', 'new things', 'gain more information', 'topics covered', 'first book']",Induction Training Module for ASHA English,[5]
What is the purpose of the short duration of training?,The short duration of training allows ASHA workers to practice their new skills in the community and build on the knowledge they gain from their books and the community.,training,"['purpose', 'short duration', 'practice', 'skills', 'community', 'knowledge', 'books']",Induction Training Module for ASHA English,[5]
What certification do ASHA workers receive after the initial training?,"After the initial training, ASHA workers receive a basic certification in communication and social mobilization.",certification,"['ASHA workers', 'initial training', 'basic certification', 'communication', 'social mobilization']",Induction Training Module for ASHA English,[5]
When can ASHA workers obtain the next level of certification?,ASHA workers can obtain the next level of certification after completing four rounds of training.,certification,"['ASHA workers', 'next level', 'four rounds', 'training']",Induction Training Module for ASHA English,[5]
What issues can ASHA workers address with the next level of certification?,"With the next level of certification, ASHA workers can address issues in the care of mothers, newborns, and children.",issues,"['ASHA workers', 'next level', 'certification', 'care', 'mothers', 'newborns', 'children']",Induction Training Module for ASHA English,[5]
What is the role of an ASHA?,"An ASHA is a woman selected by her community, based in her community, and serves as a resource to her community. Her role is three-fold: to be a facilitator of health services and link people to health care facilities, to be a provider of community level health care, and an activist who builds people's understanding of health rights and enables them to access their entitlements.",ASHA,"['role', 'facilitator', 'health services', 'link', 'people', 'health care facilities', 'provider', 'community level health care', 'activist', 'builds', 'people', 'understanding', 'health rights', 'enables', 'access', 'entitlements']",Induction Training Module for ASHA English,[7]
What are the three main roles of an ASHA?,"The three main roles of an ASHA are: 1) Facilitator of health services and link people to health care facilities, 2) Provider of community level health care, and 3) Activist who builds people's understanding of health rights and enables them to access their entitlements.",ASHA,"['three main roles', 'facilitator', 'health services', 'link', 'people', 'health care facilities', 'provider', 'community level health care', 'activist', 'builds', 'people', 'understanding', 'health rights', 'enables', 'access', 'entitlements']",Induction Training Module for ASHA English,[7]
What does ASHA stand for?,ASHA stands for Accredited Social Health Activist.,ASHA,"['ASHA', 'stands for', 'Accredited Social Health Activist']",Induction Training Module for ASHA English,[7]
What is the role of an ANM?,The text does not mention the specific role of an ANM.,ANM,"['role', 'specific role', 'ANM']",Induction Training Module for ASHA English,[7]
When is the ANM coming to our village?,The text does not provide information about the specific day the ANM is coming to the village.,ANM,"['specific day', 'ANM', 'coming', 'village']",Induction Training Module for ASHA English,[7]
What can an ASHA do to help someone who cannot afford to pay at the government hospital?,An ASHA can provide assistance and support to individuals who cannot afford to pay at the government hospital. The text does not specify how exactly the ASHA can help in this situation.,Financial Assistance,"['ASHA', 'help', 'cannot afford', 'government hospital']",Induction Training Module for ASHA English,[7]
What can an ASHA suggest for someone experiencing the first day of diarrhea?,The text does not provide specific suggestions for someone experiencing the first day of diarrhea.,Diarrhea,"['ASHA', 'suggest', 'experiencing', 'first day', 'diarrhea']",Induction Training Module for ASHA English,[7]
