Name of document,Page no.,Text
Induction Training Module for ASHA English,1,"Induction Training Module
for ASHAs
(A consolidated version of Modules 1 to 5  
for newly selected ASHAs) "
Induction Training Module for ASHA English,2,"Design and layout:
New Concept Information Systems Pvt. Ltd."
Induction Training Module for ASHA English,3,"Contents
Section 1
Being an ASHA 7
Section 2
What is a Healthy Community? 19
Section 3
Understanding Rights and Right to Health 21
Section 4
Skills of an ASHA 29
Section 5
Knowing About Health, Hygiene and Illness 41
Section 6
Dealing with Common Health Problems 49
Section 7
Infectious Diseases - Tuberculosis,  
Leprosy and Malaria 59
Section 8
Maternal Health 65
Section 9
Newborn Care 73
Section 10
Infant and Young Child Nutrition 79
Section 11
Adolescent Health 97
Section 12
Reproductive Tract Infections and  Sexually Transmitted Infections 105
Section 13
Preventing Unwanted Pregnancies 109
Section 14
Safe Abortion 113
Annexures 117"
Induction Training Module for ASHA English,4,"Acknowledgements
The Induction Training Module for New ASHAs is a consolidation of the 
contents of the first five ASHA Modules. It represents the hard work of a large 
number of individuals and institutions who were involved in developing 
these modules. Acknowledgements are due to members of the National ASHA Mentoring Group and State Nodal Officers for ASHA and Community Processes, 
who provided valuable insights and feedback for developing this Module. "
Induction Training Module for ASHA English,5,"What is this Book about?
You have chosen to be an ASHA. You have been selected by your community 
to serve as a resource because you understand their needs, their beliefs and 
practices, the social factors, where the poor and needy live, and what people 
want from health services. You already know a lot about the community in which you live. However in order to be an effective resource, you need 
additional knowledge and skills. You need to learn about health rights and 
entitlements, the causes and treatment of common illnesses, and type of treatment available at different facilities. You need to develop the skills to 
communicate health related information to people in the community, to 
counsel them on prevention of illness and to adopt healthy behaviours, to treat minor ailments and the leadership ability to help people negotiate access to 
rights and entitlements. 
This book is the first in a series of books that will help you do this. As a new 
entrant to the ASHA programme, this book provides you with a basic level of 
knowledge and skills to enable you to start your work. After you have grasped 
the contents of this book and have applied your new knowledge in your community, additional rounds of trainings will follow, in which you will not only 
learn many new things but also get more information on topics that you will 
learn in this book. Your community is also an important source of knowledge. Use the knowledge and skills that you get from your books, to build on your 
learning from the community, so that you can offer help to the people. That 
is why your training is conducted for a short duration and allows you time to practice your new skills in the community. After this training, you will be 
assessed and get a basic certification in communication and social mobilisation. 
The next level of certification is after four rounds of training and this will enable you to address issues in care of mothers, newborns and children. As your skill 
level improves, additional certification will be available. "
Induction Training Module for ASHA English,6,"Induction Training Module for ASHAs
 6"
Induction Training Module for ASHA English,7,"7 Induction Training Module for ASHAs
What are the Main Roles of the ASHA? 
An ASHA is “ a woman selected by her community, based in her community 
and serves as a resource to her community” . Your role is three-fold: to be 
a facilitator of health services and link people to health care facilities, to 
be a provider of community level health care, and an activist, who builds people’s understanding of health rights and enables them to access their entitlements. Being an ASHASection 1
Didi, which day is the ANM 
coming to our village?
Didi, they are charging me at the 
govt hospital and I don’t have the 
money to pay – can you help me?This is the first day of diarrhoea. Do 
I have go to the far away town or is 
there something you can suggest?
With continuous training and support, you mature in your role as an ASHA. You 
gain the confidence of the people, make them aware of their health rights and 
gradually start to involve and mobilise the community in local health planning."
Induction Training Module for ASHA English,8,"Induction Training Module for ASHAs
 8Activities of an ASHA 
ASHA’s work consists mainly of five activities:
1. Home visits: For two to three hours every day, for at least four or five days 
a week, you should visit the families living in your community. If it is a large 
village, then you will have a certain number of allocated households. Home visits are mainly for health promotion and preventive care. Over time, 
families will come to you when there is a problem and you will not have to 
go so often to their houses. However, where there is a child below two years of age or any malnourished child or a pregnant woman, you should visit the families at home for counselling them. Also, if there is a newborn in the 
house, a series of seven visits or more becomes essential.
2. Attending the Village Health and Nutrition Day (VHND): On one day every month, when the Auxiliary Nurse Midwife (ANM) comes to provide 
antenatal care, immunisation and other services in the village, you, as the ASHA will promote attendance by those who need the Anganwadi or ANM 
services and help with service delivery.
3. Visits to the health facility: This is usually accompanying a pregnant 
woman or some other neighbour who requests her services for escort.  
Five key Activities of an ASHAVisits to the 
Health FacilityAttending 
the VHNDHome 
Visits
Maintaining 
Record
Holding VHSNC 
Meetings"
Induction Training Module for ASHA English,9,"9 Induction Training Module for ASHAsThe visit could also be to attend a training programme or review meeting. In 
some months, there would be only one visit, in others, there would be more.
4. Holding village level meeting of women’s groups, and the Village Health Sanitation and Nutrition Committee (VHSNC), for increasing health awareness and to support village health planning.
5. Maintain records to help organise your work, and know what you need to do each day.
Essential tasks for an ASHA
1. Maternal Care
a. Counselling of pregnant 
women
b. Ensuring complete 
antenatal care through 
home visits and enabling 
care at VHND
c. Making the birth plan and 
support for safe delivery 
d. Undertaking post-partum 
visits, Counselling for 
family planning.
2. Newborn Care when visiting 
the newborn at home
a. Counselling and problem 
solving on breastfeeding
b. Keeping the baby warm
c. Identification and basic management of LBW (Low Birth Weight) and pre-term baby
d. Examinations needed for identification/first contract care for sepsis and asphyxia
3. Child Care 
a. Providing home care for diarrhoea, Acute 
Respiratory Infections (ARI), fever and 
appropriate referral, when required
b. Counselling for feeding during illness
c. Temperature management
d. De-worming and treatment of iron deficiency anaemia, with referral where required
e. Counselling to prevent recurrent illness especially diarrhoea."
Induction Training Module for ASHA English,10,"Induction Training Module for ASHAs
 10
6. Social Mobilisation
a. Conducting women’s group meetings 
and VHSC meetings
b. Assisting in making village health plans
c. Enabling marginalised and vulnerable communities to be able to access 
health services.4. Nutrition
a. Counselling and 
support for exclusive 
breastfeeding
b. Counselling mothers 
on complementary 
feeding
c. Counselling 
and referral of 
malnourished children.
5. Infections
a. Identifying persons whose 
symptoms are suggestive of 
malaria, leprosy, tuberculosis, etc. during home visits, community 
level care and referral 
b. Encouraging those who are put 
on treatment to take their drugs 
regularly
c. Encouraging the village 
community to take collective 
action to prevent spread of these 
infections and individuals to protect themselves from getting 
infected.
These tasks need a set of specific skills like, Leadership, Communication, Decision-Making, 
Negotiation, and Coordination which you will learn later in this training programme. "
